,,Price
2023,376,9.69
2023,377,14
2023,378,22.4
2023,379,31.75
2023,380,34.2
2023,381,24.61
2023,382,9.99
2023,383,4.16
2023,384,4.16
2023,385,4.16
2023,386,2.99
2023,387,1.49
2023,388,0.65
2023,389,1.49
2023,390,4.16
2023,391,4.16
2023,392,4.7
2023,393,4.85
2023,394,4.16
2023,395,4.16
2023,396,4.16
2023,397,4.16
2023,398,4.16
2023,399,4.16
2023,400,4.16
2023,401,4.16
2023,402,4.95
2023,403,12.46
2023,404,17.5
2023,405,12.2
2023,406,4.95
2023,407,4.16
2023,408,3.8
2023,409,0.57
2023,410,0.1
2023,411,0.1
2023,412,0.12
2023,413,0.65
2023,414,1.8
2023,415,10
2023,416,24.61
2023,417,21.34
2023,418,12.6
2023,419,4.16
2023,420,4.16
2023,421,4.16
2023,422,4.16
2023,423,4.16
2023,424,4.16
2023,425,14
2023,426,35.74
2023,427,105.95
2023,428,122.7
2023,429,100
2023,430,25.59
2023,431,14
2023,432,40.86
2023,433,29.99
2023,434,24.98
2023,435,24.61
2023,436,24
2023,437,24.61
2023,438,26.4
2023,439,62
2023,440,94.8
2023,441,66.72
2023,442,26.8
2023,443,22.6
2023,444,21.94
2023,445,21
2023,446,18.57
2023,447,18.35
2023,448,20
2023,449,24.61
2023,450,38.59
2023,451,48.85
2023,452,54.8
2023,453,41.3
2023,454,30
2023,455,21.94
2023,456,48.9
2023,457,44.5
2023,458,29.99
2023,459,30
2023,460,37.01
2023,461,48
2023,462,53.7
2023,463,71.72
2023,464,90.58
2023,465,93.38
2023,466,83.82
2023,467,77
2023,468,82.85
2023,469,76.77
2023,470,75
2023,471,75
2023,472,88.3
2023,473,115.97
2023,474,164.3
2023,475,207.8
2023,476,197.95
2023,477,175.89
2023,478,126.9
2023,479,93.53
2023,480,75.76
2023,481,60.5
2023,482,56
2023,483,52
2023,484,50
2023,485,45.19
2023,486,45.19
2023,487,52.49
2023,488,55.16
2023,489,55.16
2023,490,52.49
2023,491,50
2023,492,45
2023,493,44.8
2023,494,43.77
2023,495,37.76
2023,496,44.8
2023,497,54.6
2023,498,75.76
2023,499,93.01
2023,500,111.56
2023,501,91.16
2023,502,67.2
2023,503,54.02
2023,504,32.37
2023,505,18
2023,506,20
2023,507,14
2023,508,13.84
2023,509,13.29
2023,510,11
2023,511,16
2023,512,30.1
2023,513,28.09
2023,514,18
2023,515,15
2023,516,18
2023,517,20
2023,518,20.15
2023,519,18
2023,520,21.94
2023,521,32.99
2023,522,71.72
2023,523,88.65
2023,524,128.97
2023,525,124.51
2023,526,75
2023,527,55.16
2023,528,50
2023,529,39.58
2023,530,34.44
2023,531,37.78
2023,532,37.78
2023,533,40.01
2023,534,50
2023,535,63
2023,536,88.65
2023,537,95.01
2023,538,63
2023,539,59.6
2023,540,59.16
2023,541,59.16
2023,542,54
2023,543,53.8
2023,544,59.6
2023,545,65
2023,546,109
2023,547,156.4
2023,548,157.22
2023,549,150.5
2023,550,78.59
2023,551,64.8
2023,552,63
2023,553,51.9
2023,554,48.62
2023,555,47.85
2023,556,49.67
2023,557,51.9
2023,558,60.3
2023,559,80.03
2023,560,95
2023,561,88.02
2023,562,65
2023,563,63.16
2023,564,64
2023,565,64.02
2023,566,64
2023,567,64
2023,568,64.02
2023,569,94
2023,570,138.17
2023,571,220
2023,572,218.08
2023,573,156
2023,574,103.01
2023,575,85
2023,576,100
2023,577,84.87
2023,578,70
2023,579,66.81
2023,580,66.81
2023,581,70.01
2023,582,79.01
2023,583,99.76
2023,584,132.96
2023,585,106.01
2023,586,87.38
2023,587,66.81
2023,588,65.33
2023,589,65
2023,590,64.99
2023,591,64.8
2023,592,64.8
2023,593,91.16
2023,594,118.47
2023,595,210.34
2023,596,192.28
2023,597,117.01
2023,598,88.65
2023,599,64.8
2023,600,70.78
2023,601,60.6
2023,602,59.16
2023,603,59
2023,604,55
2023,605,59.16
2023,606,59.16
2023,607,69.99
2023,608,94.87
2023,609,83
2023,610,66.81
2023,611,59.6
2023,612,59
2023,613,56.1
2023,614,53.4
2023,615,53.1
2023,616,59.16
2023,617,73.01
2023,618,77.92
2023,619,99.54
2023,620,99.76
2023,621,80
2023,622,59.16
2023,623,50.27
2023,624,48.8
2023,625,48
2023,626,35.69
2023,627,33.27
2023,628,30
2023,629,35.69
2023,630,45.28
2023,631,49.69
2023,632,68.37
2023,633,57.62
2023,634,47
2023,635,30
2023,636,21.2
2023,637,20
2023,638,15
2023,639,18
2023,640,26.74
2023,641,48.02
2023,642,52.43
2023,643,78
2023,644,82.01
2023,645,78
2023,646,74.89
2023,647,52.43
2023,648,40
2023,649,36.69
2023,650,36.69
2023,651,36.27
2023,652,35.94
2023,653,35.2
2023,654,36.27
2023,655,37.6
2023,656,42.74
2023,657,39.5
2023,658,34.8
2023,659,29.56
2023,660,24.47
2023,661,20.73
2023,662,18
2023,663,15
2023,664,22.4
2023,665,35
2023,666,63.09
2023,667,70.23
2023,668,74.89
2023,669,74.89
2023,670,70.99
2023,671,63.09
2023,672,52.34
2023,673,40
2023,674,38.9
2023,675,38.45
2023,676,38.05
2023,677,38.05
2023,678,38.7
2023,679,39.1
2023,680,39.5
2023,681,39.5
2023,682,38.05
2023,683,36.45
2023,684,37.99
2023,685,39.5
2023,686,40.32
2023,687,39.5
2023,688,43.94
2023,689,90
2023,690,122.59
2023,691,178.58
2023,692,172.51
2023,693,162.32
2023,694,130.62
2023,695,106.83
2023,696,117.05
2023,697,119.6
2023,698,118.73
2023,699,110.33
2023,700,90
2023,701,118.42
2023,702,119.6
2023,703,145.6
2023,704,176.48
2023,705,154.63
2023,706,127.65
2023,707,125.36
2023,708,123.2
2023,709,121.32
2023,710,119.6
2023,711,118.48
2023,712,121.32
2023,713,129.4
2023,714,167.45
2023,715,220
2023,716,187.84
2023,717,172.85
2023,718,130.99
2023,719,113
2023,720,125.28
2023,721,108.45
2023,722,99
2023,723,108.45
2023,724,110
2023,725,110
2023,726,110
2023,727,139.66
2023,728,167.45
2023,729,140.88
2023,730,115
2023,731,105.19
2023,732,110
2023,733,109.99
2023,734,108.97
2023,735,108.98
2023,736,108.98
2023,737,125.75
2023,738,147.01
2023,739,187.36
2023,740,176.48
2023,741,164.42
2023,742,137.66
2023,743,124.8
2023,744,133.65
2023,745,121.51
2023,746,99.39
2023,747,103.79
2023,748,110
2023,749,99.99
2023,750,115
2023,751,138.24
2023,752,180.63
2023,753,146.54
2023,754,129.6
2023,755,100
2023,756,107.98
2023,757,104.42
2023,758,99.55
2023,759,98.15
2023,760,100.94
2023,761,137.03
2023,762,159.05
2023,763,189.74
2023,764,175.02
2023,765,160
2023,766,143.39
2023,767,131.65
2023,768,119.89
2023,769,123.13
2023,770,119
2023,771,118.62
2023,772,113.74
2023,773,127.29
2023,774,134
2023,775,151.93
2023,776,181.93
2023,777,152.26
2023,778,137.5
2023,779,127.03
2023,780,126.33
2023,781,126.33
2023,782,126.33
2023,783,126.33
2023,784,129.86
2023,785,143.89
2023,786,167.56
2023,787,175.33
2023,788,163.5
2023,789,152.97
2023,790,143.66
2023,791,134.65
2023,792,125.86
2023,793,124.48
2023,794,120.01
2023,795,107.86
2023,796,106.63
2023,797,109.86
2023,798,129.59
2023,799,149.7
2023,800,165.14
2023,801,156.11
2023,802,143.16
2023,803,136
2023,804,132.8
2023,805,129.95
2023,806,126.4
2023,807,123.2
2023,808,130.69
2023,809,141.99
2023,810,158.7
2023,811,185.13
2023,812,173.06
2023,813,152.15
2023,814,150.98
2023,815,146.58
2023,816,158.09
2023,817,151.6
2023,818,138.42
2023,819,129.12
2023,820,129.55
2023,821,131.32
2023,822,130
2023,823,132.49
2023,824,135.69
2023,825,129.55
2023,826,121.14
2023,827,116.68
2023,828,100
2023,829,95
2023,830,89.58
2023,831,87.6
2023,832,88
2023,833,119.58
2023,834,131.51
2023,835,148.1
2023,836,148.49
2023,837,145.29
2023,838,131.51
2023,839,126.07
2023,840,103.84
2023,841,94.02
2023,842,88.3
2023,843,87.9
2023,844,86.11
2023,845,85.58
2023,846,85.69
2023,847,85.69
2023,848,85.69
2023,849,72
2023,850,31.28
2023,851,17.69
2023,852,17.69
2023,853,17.69
2023,854,17.69
2023,855,17.69
2023,856,20.36
2023,857,85.58
2023,858,116.86
2023,859,141.01
2023,860,144.3
2023,861,144.59
2023,862,138.42
2023,863,119.48
2023,864,105
2023,865,89.9
2023,866,88.3
2023,867,87.9
2023,868,88
2023,869,90
2023,870,104.65
2023,871,145.13
2023,872,161.11
2023,873,150.71
2023,874,141.91
2023,875,139.36
2023,876,141.91
2023,877,142
2023,878,140.61
2023,879,140
2023,880,141.36
2023,881,146.72
2023,882,160.92
2023,883,178.11
2023,884,186.21
2023,885,166.46
2023,886,158.19
2023,887,145.13
2023,888,136.83
2023,889,131.76
2023,890,123.19
2023,891,120
2023,892,120.78
2023,893,130.68
2023,894,111.97
2023,895,147.49
2023,896,158.59
2023,897,150.21
2023,898,130
2023,899,129.66
2023,900,125.78
2023,901,128.28
2023,902,127.6
2023,903,128.28
2023,904,133.7
2023,905,147.4
2023,906,154
2023,907,165.74
2023,908,165.74
2023,909,158.59
2023,910,146.07
2023,911,124.3
2023,912,137.55
2023,913,115.05
2023,914,109.8
2023,915,108
2023,916,109.02
2023,917,110
2023,918,121.98
2023,919,134
2023,920,150.9
2023,921,149.06
2023,922,137.55
2023,923,138.55
2023,924,140.23
2023,925,135.14
2023,926,136.46
2023,927,144.74
2023,928,149.06
2023,929,141.55
2023,930,150
2023,931,164.01
2023,932,166.45
2023,933,162.59
2023,934,151.31
2023,935,149.06
2023,936,145.51
2023,937,142.47
2023,938,139
2023,939,136.85
2023,940,136.88
2023,941,140
2023,942,142.25
2023,943,145.86
2023,944,151.34
2023,945,147.02
2023,946,137.8
2023,947,140.47
2023,948,141.93
2023,949,140
2023,950,137.81
2023,951,137.8
2023,952,140
2023,953,145.51
2023,954,151.03
2023,955,162.63
2023,956,165
2023,957,158.67
2023,958,150.61
2023,959,143.47
2023,960,141.75
2023,961,140.88
2023,962,137.93
2023,963,137.82
2023,964,137.93
2023,965,140.69
2023,966,141.02
2023,967,148.54
2023,968,163.44
2023,969,147.28
2023,970,141.02
2023,971,139
2023,972,135.7
2023,973,125.5
2023,974,124.58
2023,975,123.63
2023,976,130
2023,977,141.02
2023,978,148.44
2023,979,155.12
2023,980,159.93
2023,981,152.59
2023,982,151.1
2023,983,144.33
2023,984,139.44
2023,985,135.86
2023,986,131.18
2023,987,133.48
2023,988,132.16
2023,989,130
2023,990,133.88
2023,991,132.16
2023,992,136
2023,993,135.1
2023,994,126.72
2023,995,115
2023,996,110
2023,997,110
2023,998,105
2023,999,103.36
2023,1000,106.69
2023,1001,135.86
2023,1002,143.56
2023,1003,160.01
2023,1004,161.01
2023,1005,155.58
2023,1006,150
2023,1007,140.19
2023,1008,140.48
2023,1009,134.47
2023,1010,132.47
2023,1011,128.1
2023,1012,129
2023,1013,130.14
2023,1014,133.88
2023,1015,133.88
2023,1016,134.47
2023,1017,130.76
2023,1018,129
2023,1019,126.5
2023,1020,126
2023,1021,120
2023,1022,120
2023,1023,124
2023,1024,133.88
2023,1025,143.9
2023,1026,157.46
2023,1027,173.46
2023,1028,170
2023,1029,157.06
2023,1030,152.88
2023,1031,144.66
2023,1032,140.09
2023,1033,138.76
2023,1034,135.8
2023,1035,129.04
2023,1036,131
2023,1037,137.43
2023,1038,137
2023,1039,154.58
2023,1040,162
2023,1041,153.97
2023,1042,145.84
2023,1043,137
2023,1044,135.94
2023,1045,132.91
2023,1046,130
2023,1047,131
2023,1048,135.8
2023,1049,145
2023,1050,160.85
2023,1051,183.25
2023,1052,186.59
2023,1053,169.19
2023,1054,160
2023,1055,149.37
2023,1056,135.62
2023,1057,132.32
2023,1058,129.94
2023,1059,129
2023,1060,129
2023,1061,129.94
2023,1062,137.75
2023,1063,149.16
2023,1064,160
2023,1065,153.2
2023,1066,145.55
2023,1067,143.42
2023,1068,131.11
2023,1069,128.6
2023,1070,127.9
2023,1071,130.69
2023,1072,140
2023,1073,146.73
2023,1074,155.52
2023,1075,170
2023,1076,171.37
2023,1077,160.09
2023,1078,151.03
2023,1079,141.73
2023,1080,130
2023,1081,126.11
2023,1082,125.98
2023,1083,126.11
2023,1084,127
2023,1085,136.43
2023,1086,148.37
2023,1087,157.3
2023,1088,165.47
2023,1089,162.53
2023,1090,152.84
2023,1091,140.96
2023,1092,125.69
2023,1093,121.75
2023,1094,124.3
2023,1095,129.35
2023,1096,146.26
2023,1097,160.06
2023,1098,171.01
2023,1099,175
2023,1100,169.07
2023,1101,163.65
2023,1102,152.41
2023,1103,144.05
2023,1104,150.87
2023,1105,145.95
