,,Biomass,NaturalGas,SteamUtility
2023,0,29.4,66.79,78.6
2023,1,29.4,66.79,78.6
2023,2,29.4,66.79,78.6
2023,3,29.4,66.79,78.6
2023,4,29.4,66.79,78.6
2023,5,29.4,66.79,78.6
2023,6,29.4,66.79,78.6
2023,7,29.4,66.79,78.6
2023,8,29.4,66.79,78.6
2023,9,29.4,66.79,78.6
2023,10,29.4,66.79,78.6
2023,11,29.4,66.79,78.6
2023,12,29.4,66.79,78.6
2023,13,29.4,66.79,78.6
2023,14,29.4,66.79,78.6
2023,15,29.4,66.79,78.6
2023,16,29.4,66.79,78.6
2023,17,29.4,66.79,78.6
2023,18,29.4,66.79,78.6
2023,19,29.4,66.79,78.6
2023,20,29.4,66.79,78.6
2023,21,29.4,66.79,78.6
2023,22,29.4,66.79,78.6
2023,23,29.4,66.79,78.6
2023,24,29.4,67.69,78.6
2023,25,29.4,67.69,78.6
2023,26,29.4,67.69,78.6
2023,27,29.4,67.69,78.6
2023,28,29.4,67.69,78.6
2023,29,29.4,67.69,78.6
2023,30,29.4,67.69,78.6
2023,31,29.4,67.69,78.6
2023,32,29.4,67.69,78.6
2023,33,29.4,67.69,78.6
2023,34,29.4,67.69,78.6
2023,35,29.4,67.69,78.6
2023,36,29.4,67.69,78.6
2023,37,29.4,67.69,78.6
2023,38,29.4,67.69,78.6
2023,39,29.4,67.69,78.6
2023,40,29.4,67.69,78.6
2023,41,29.4,67.69,78.6
2023,42,29.4,67.69,78.6
2023,43,29.4,67.69,78.6
2023,44,29.4,67.69,78.6
2023,45,29.4,67.69,78.6
2023,46,29.4,67.69,78.6
2023,47,29.4,67.69,78.6
2023,48,29.4,73.64,78.6
2023,49,29.4,73.64,78.6
2023,50,29.4,73.64,78.6
2023,51,29.4,73.64,78.6
2023,52,29.4,73.64,78.6
2023,53,29.4,73.64,78.6
2023,54,29.4,73.64,78.6
2023,55,29.4,73.64,78.6
2023,56,29.4,73.64,78.6
2023,57,29.4,73.64,78.6
2023,58,29.4,73.64,78.6
2023,59,29.4,73.64,78.6
2023,60,29.4,73.64,78.6
2023,61,29.4,73.64,78.6
2023,62,29.4,73.64,78.6
2023,63,29.4,73.64,78.6
2023,64,29.4,73.64,78.6
2023,65,29.4,73.64,78.6
2023,66,29.4,73.64,78.6
2023,67,29.4,73.64,78.6
2023,68,29.4,73.64,78.6
2023,69,29.4,73.64,78.6
2023,70,29.4,73.64,78.6
2023,71,29.4,73.64,78.6
2023,72,29.4,60.64,78.6
2023,73,29.4,60.64,78.6
2023,74,29.4,60.64,78.6
2023,75,29.4,60.64,78.6
2023,76,29.4,60.64,78.6
2023,77,29.4,60.64,78.6
2023,78,29.4,60.64,78.6
2023,79,29.4,60.64,78.6
2023,80,29.4,60.64,78.6
2023,81,29.4,60.64,78.6
2023,82,29.4,60.64,78.6
2023,83,29.4,60.64,78.6
2023,84,29.4,60.64,78.6
2023,85,29.4,60.64,78.6
2023,86,29.4,60.64,78.6
2023,87,29.4,60.64,78.6
2023,88,29.4,60.64,78.6
2023,89,29.4,60.64,78.6
2023,90,29.4,60.64,78.6
2023,91,29.4,60.64,78.6
2023,92,29.4,60.64,78.6
2023,93,29.4,60.64,78.6
2023,94,29.4,60.64,78.6
2023,95,29.4,60.64,78.6
2023,96,29.4,61.93,78.6
2023,97,29.4,61.93,78.6
2023,98,29.4,61.93,78.6
2023,99,29.4,61.93,78.6
2023,100,29.4,61.93,78.6
2023,101,29.4,61.93,78.6
2023,102,29.4,61.93,78.6
2023,103,29.4,61.93,78.6
2023,104,29.4,61.93,78.6
2023,105,29.4,61.93,78.6
2023,106,29.4,61.93,78.6
2023,107,29.4,61.93,78.6
2023,108,29.4,61.93,78.6
2023,109,29.4,61.93,78.6
2023,110,29.4,61.93,78.6
2023,111,29.4,61.93,78.6
2023,112,29.4,61.93,78.6
2023,113,29.4,61.93,78.6
2023,114,29.4,61.93,78.6
2023,115,29.4,61.93,78.6
2023,116,29.4,61.93,78.6
2023,117,29.4,61.93,78.6
2023,118,29.4,61.93,78.6
2023,119,29.4,61.93,78.6
2023,120,29.4,64.05,78.6
2023,121,29.4,64.05,78.6
2023,122,29.4,64.05,78.6
2023,123,29.4,64.05,78.6
2023,124,29.4,64.05,78.6
2023,125,29.4,64.05,78.6
2023,126,29.4,64.05,78.6
2023,127,29.4,64.05,78.6
2023,128,29.4,64.05,78.6
2023,129,29.4,64.05,78.6
2023,130,29.4,64.05,78.6
2023,131,29.4,64.05,78.6
2023,132,29.4,64.05,78.6
2023,133,29.4,64.05,78.6
2023,134,29.4,64.05,78.6
2023,135,29.4,64.05,78.6
2023,136,29.4,64.05,78.6
2023,137,29.4,64.05,78.6
2023,138,29.4,64.05,78.6
2023,139,29.4,64.05,78.6
2023,140,29.4,64.05,78.6
2023,141,29.4,64.05,78.6
