,,Cost
2023,0,0.172
2023,1,0.172
2023,2,0.172
2023,3,0.172
2023,4,0.172
2023,5,0.172
2023,6,0.172
2023,7,0.172
2023,8,0.172
2023,9,0.172
2023,10,0.172
2023,11,0.172
2023,12,0.172
2023,13,0.272
2023,14,0.272
2023,15,0.182
2023,16,1.172
2023,17,4.332
2023,18,15.272
2023,19,19.682
2023,20,24.782
2023,21,40.242
2023,22,40.242
2023,23,16.172
2023,24,61.552
2023,25,42.342
2023,26,42.172
2023,27,42.242
2023,28,42.342
2023,29,63.392
2023,30,85.172
2023,31,105.532
2023,32,139.707
2023,33,142.299
2023,34,137.719
2023,35,136.789
2023,36,137.719
2023,37,140.719
2023,38,139.707
2023,39,136.707
2023,40,140.587
2023,41,168.707
2023,42,185.459
2023,43,176.479
2023,44,163.719
2023,45,152.389
2023,46,143.617
2023,47,132.927
2023,48,130.182
2023,49,120.172
2023,50,118.932
2023,51,115.172
2023,52,113.802
2023,53,116.442
2023,54,139.092
2023,55,155.762
2023,56,177.877
2023,57,181.899
2023,58,165.619
2023,59,157.429
2023,60,144.049
2023,61,140.719
2023,62,134.707
2023,63,128.707
2023,64,144.267
2023,65,165.007
2023,66,179.729
2023,67,171.709
2023,68,162.819
2023,69,160.639
2023,70,141.237
2023,71,123.707
2023,72,120.162
2023,73,100.172
2023,74,90.402
2023,75,84.372
2023,76,80.402
2023,77,87.482
2023,78,109.172
2023,79,105.272
2023,80,142.867
2023,81,140.019
2023,82,131.419
2023,83,107.489
2023,84,115.749
2023,85,116.719
2023,86,113.777
2023,87,112.607
2023,88,116.687
2023,89,138.527
2023,90,178.009
2023,91,171.319
2023,92,162.269
2023,93,151.329
2023,94,135.287
2023,95,113.457
2023,96,95.222
2023,97,79.382
2023,98,68.242
2023,99,64.442
2023,100,62.142
2023,101,65.272
2023,102,95.222
2023,103,108.402
2023,104,143.707
2023,105,133.989
2023,106,115.689
2023,107,124.249
2023,108,111.539
2023,109,107.159
2023,110,102.607
2023,111,99.867
2023,112,103.137
2023,113,127.607
2023,114,173.919
2023,115,188.699
2023,116,174.709
2023,117,162.719
2023,118,143.707
2023,119,127.607
2023,120,107.382
2023,121,101.272
2023,122,96.902
2023,123,81.542
2023,124,75.922
