,,Availability,ActivationDw,ActivationUp
2023,173,2.06,0.41,4.16
2023,174,2.06,2.34,24.61
2023,175,2.06,1.31,19.71
2023,176,0.22,4.27,48.98
2023,177,26.32,0.05,23.33
2023,178,2.63,0,47.18
2023,179,26.31,7.43,50.53
2023,180,0.2,6.34,48.25
2023,181,19.39,3.98,50.88
2023,182,19.09,16.66,38.5
2023,183,19.43,11.73,23.94
2023,184,0.22,0.05,3.77
2023,185,17.85,0.73,16.56
2023,186,6.57,13.22,34.76
2023,187,5.73,0.79,31.54
2023,188,6.68,1.3,40
2023,189,6.65,1.4,75.62
2023,190,5.28,0.93,49.4
2023,191,5.28,0.73,17.64
2023,192,0.2,0,48.81
2023,193,21.24,0,3.25
2023,194,2.16,0,1.04
2023,195,22.61,-0.5,0.13
2023,196,24.34,-2.5,0
2023,197,24.19,0,2.08
2023,198,20.51,6.15,34.72
2023,199,0.15,70.98,115.72
2023,200,9.76,96.48,121.69
2023,201,21.17,71.5,90.9
2023,202,22.03,66.9,37.15
2023,203,20.63,63.5,38.05
2023,204,19.48,48.78,106
2023,205,18.16,51.25,91.81
2023,206,17.63,0.01,80.38
2023,207,15.17,0.01,1.01
2023,208,0.16,0.01,92.35
2023,209,6.46,63.96,120.89
2023,210,3.98,71.48,120.22
2023,211,1.98,78.79,134.15
2023,212,1.98,72,65.51
2023,213,0.42,91.53,103.85
2023,214,4.82,71.13,130.75
2023,215,12.93,67.6,124.01
2023,216,16.84,94.59,106.13
2023,217,0.13,93.98,84.82
2023,218,12.14,94.38,68.97
2023,219,12.42,94.75,90.33
2023,220,1.32,81.77,93.1
2023,221,12.87,88.71,47.41
2023,222,1.11,81.04,31.67
2023,223,6.97,85.58,117.89
2023,224,4.49,79.68,135.1
2023,225,5.11,74.58,90.36
2023,226,0.95,66.23,29.07
2023,227,16.47,63.78,69.18
2023,228,16.89,64.83,33.51
2023,229,1.62,90.21,98.9
2023,230,16.11,90.13,85.78
2023,231,1.65,86.86,92.04
2023,232,1.92,57.73,85.75
2023,233,5.22,62.73,40.87
2023,234,3.95,86.23,62.5
2023,235,2.83,124.64,138.61
2023,236,4.99,136.32,120.17
2023,237,6.66,92.24,114.85
2023,238,16.31,83.73,91.07
2023,239,1.59,48.48,51.08
2023,240,11.25,33.33,89.88
2023,241,10.79,17.5,95.14
2023,242,12.75,3.05,89.3
2023,243,14.38,3.33,89.82
2023,244,1.51,26.25,66.86
2023,245,15.01,17.25,89.82
2023,246,11.75,61.55,98.84
2023,247,0.84,70.04,110.49
2023,248,6.28,64.95,103.42
2023,249,6.47,95.21,127.06
2023,250,11.58,58.84,112.22
2023,251,1.03,53.27,104.26
2023,252,16.36,73.12,93.07
2023,253,16.17,63.35,104.04
2023,254,16.83,69.18,109.94
2023,255,14.67,60.63,99.1
2023,256,3.45,56.08,94.65
2023,257,14.75,54.72,121.62
2023,258,9.42,56.85,113.06
2023,259,4.73,64.37,112.59
2023,260,5.29,64.7,113.56
2023,261,4.92,70.41,124
2023,262,0.65,60.82,114.83
2023,263,18.73,60.79,88.42
2023,264,11.27,43.4,86.56
2023,265,10.57,48.57,95.05
2023,266,1.15,33.85,83.72
2023,267,1.15,36.58,96.51
2023,268,10.52,51.95,99.77
2023,269,10.44,45.85,93.86
2023,270,7.08,51.23,95.66
2023,271,2.58,63.13,120.4
2023,272,2.58,88.92,122.13
2023,273,3.98,69.38,102.38
2023,274,0.58,54.63,87.43
2023,275,4.83,45,42.73
2023,276,7.67,71.81,64.62
2023,277,9.56,46.15,35.41
2023,278,10.47,41.1,76.37
2023,279,7.66,42.15,79.8
2023,280,10.27,40.47,103.31
2023,281,3.98,55.33,123.91
2023,282,0.07,83.03,134.37
2023,283,8.06,75,63.59
2023,284,8.16,70.25,44.27
2023,285,3.98,66.33,110.59
2023,286,0.32,47.88,106.51
2023,287,11.36,50,102.28
2023,288,10.06,72.61,98.04
2023,289,7.89,63.26,90.26
2023,290,0.95,34.73,82.71
2023,291,1.15,2.5,76.63
2023,292,1.15,8.75,33.06
2023,293,1.15,18.46,86.83
2023,294,0.41,46.73,84.63
2023,295,0.65,51.75,105.74
2023,296,5.18,78.17,93.21
2023,297,20.17,88.31,108.91
2023,298,19.05,66.08,104.88
2023,299,1.79,66.67,93.2
2023,300,18.58,50.5,69.19
2023,301,13.72,59.4,85.55
2023,302,13.41,39.7,90.75
2023,303,12.07,39.35,86.01
2023,304,16.28,25.93,87.12
2023,305,0.91,58.98,108.07
2023,306,6.53,83.12,96.18
2023,307,7.18,74.84,134.88
2023,308,7.57,125.29,120.75
2023,309,6.25,117.13,135.27
2023,310,3.64,72.28,129.37
2023,311,3.45,78.01,157.98
2023,312,6.33,72.87,135.24
2023,313,6.59,70.79,128.25
2023,314,7.18,60,101.32
2023,315,9.09,48.85,100.33
2023,316,10.19,51.78,83.13
2023,317,10.51,46.69,62.97
2023,318,9.04,47.95,89.48
2023,319,9.71,54.93,99.61
2023,320,0.95,62.15,101.81
2023,321,0.83,62.04,106.6
2023,322,9.96,50.04,78.25
2023,323,0.1,52.8,89.24
2023,324,1.02,49.75,89.05
2023,325,1.07,51.34,84.87
2023,326,0.93,39.98,66.69
2023,327,9.85,23.73,65.68
2023,328,11.58,37.03,76.78
2023,329,9.69,49.22,66.69
2023,330,10.66,49.97,69.58
2023,331,7.79,61.03,71.97
2023,332,9.54,53.3,72.52
2023,333,8.83,44.89,63.97
2023,334,9.42,46.41,76.12
2023,335,13.42,35.57,56.6
2023,336,0.64,15.3,67.78
2023,337,0.97,14.95,44.91
2023,338,14.21,5.08,19.47
2023,339,10.99,0,3.12
2023,340,17.05,-5,3.9
2023,341,13.51,4.35,4.16
2023,342,14.18,-1.67,4.16
2023,343,11.92,1.25,4.81
2023,344,7.67,1.25,8.82
2023,345,0.1,11.34,28.8
2023,346,9.07,8.3,32.08
2023,347,0.98,11.63,27.13
2023,348,0.1,0.25,25.18
2023,349,0.1,0.25,14.16
2023,350,0.1,0,19.82
2023,351,0.1,0,28.47
2023,352,15.23,18.69,24.2
2023,353,1.26,0,37.25
2023,354,7.39,16.3,38.01
2023,355,6.66,26.49,50.68
2023,356,0.84,49.31,49.89
2023,357,6.87,24.45,42.88
2023,358,5.72,4.96,26.43
2023,359,4.93,5.06,28.85
2023,360,15.13,0,14.04
2023,361,1.54,1.49,3
2023,362,15.72,0,4.16
2023,363,16.57,1.33,3.87
2023,364,16.57,-2.5,4.16
2023,365,16.43,1.04,4.16
2023,366,20.18,2.97,10.12
2023,367,6.74,3.63,37.53
2023,368,3.89,24.23,38.23
2023,369,3.93,24.58,67.28
2023,370,3.74,33.91,46.46
2023,371,3.39,5.87,37.04
2023,372,3.56,15.4,34.85
2023,373,0.41,16.5,36.87
2023,374,3.25,10.66,52.72
2023,375,3.36,9.69,57.63
2023,376,3.36,6.75,42.79
2023,377,0.39,3.79,37.89
2023,378,0.41,13.63,26.62
2023,379,1.98,31.75,34.19
2023,380,2.08,35.06,36.52
2023,381,4.07,19,50.69
2023,382,3.37,15.94,36.47
2023,383,0.63,4.08,33.55
2023,384,23.05,3.9,11.73
2023,385,21.48,3.77,4.16
2023,386,21.68,-0.66,4.16
2023,387,21.94,-1.03,3.12
2023,388,22.09,-10,4.16
2023,389,21.94,-1.25,4.16
2023,390,26.72,-0.73,6.28
2023,391,19.19,3.7,44.02
2023,392,0.34,24.1,73.16
2023,393,0.34,4.85,70.42
2023,394,0.35,3.7,8.07
2023,395,10.47,2.91,17.46
2023,396,4.69,3.41,24.56
2023,397,7.44,11.97,24.61
2023,398,7.64,3.88,24.58
2023,399,8.74,2.98,24.58
2023,400,21.48,3.78,41.64
2023,401,18.33,5.34,70.86
2023,402,5.91,16.63,72.25
2023,403,3.18,31.24,100.73
2023,404,0.45,40,116.59
2023,405,3.21,33.05,103.33
2023,406,5.86,40,60.7
2023,407,21.25,4.16,33.78
2023,408,14.33,0.01,15.85
2023,409,13.16,0.17,4.16
2023,410,13.34,0.01,4.16
2023,411,13.34,0.01,3.71
2023,412,13.34,0.07,4.16
2023,413,13.18,0.75,4.16
2023,414,11.58,2.6,14.63
2023,415,10.58,20.67,59.98
2023,416,12.18,23.66,92.24
2023,417,9.13,22.12,98.03
2023,418,4.97,13.34,76.95
2023,419,3.18,7.03,56.53
2023,420,4.25,7.5,63.66
2023,421,9.31,19.58,48.65
2023,422,4.97,33.65,13.71
2023,423,4.64,2.51,7.41
2023,424,15.92,3.87,16.39
2023,425,10.23,12.77,53.19
2023,426,7.38,29.67,90.07
2023,427,15.72,50.57,69.14
2023,428,19.66,51.07,76.07
2023,429,17.45,44.09,78.68
2023,430,5.53,27.09,90.11
2023,431,7.48,33.23,57.88
2023,432,17.22,44.86,79.35
2023,433,19.03,27.22,68.35
2023,434,18.25,29.04,59.36
2023,435,19.13,28.98,75.89
2023,436,18.29,25.04,75.89
2023,437,19.13,24.41,54
2023,438,17.29,26.1,69.03
2023,439,13.64,50.2,91.84
2023,440,13.94,53.31,78.87
2023,441,12.68,43.05,0
2023,442,13.42,21.79,60.85
2023,443,10.06,19.99,37.33
2023,444,10.13,21.84,30.14
2023,445,10.24,21.53,49.35
2023,446,9.93,21.35,57.95
2023,447,9.74,39.53,67.49
2023,448,15.25,21.2,85.71
2023,449,13.79,35.08,116.93
2023,450,8.56,38.57,118.55
2023,451,0.88,48.81,78.7
2023,452,9.18,57.4,82.17
2023,453,7.98,41.29,103.62
2023,454,0.83,29.94,95.92
2023,455,14.27,15.97,31.03
2023,456,1.09,20,68.44
2023,457,10.69,5.4,58.29
2023,458,10.23,33.61,78.05
2023,459,11.83,33,71.5
2023,460,12.18,39.38,72.9
2023,461,13.46,49.1,70.82
2023,462,15.42,35.6,42.99
2023,463,13.55,54.6,94.7
2023,464,9.82,69.62,92.67
2023,465,6.98,54.25,83.42
2023,466,8.69,21.03,85.85
2023,467,11.25,22,89.38
2023,468,10.02,58.6,72.98
2023,469,11.94,86.37,84.26
2023,470,12.49,25.8,78.5
2023,471,12.49,74.52,83.35
2023,472,0.83,25.9,61.48
2023,473,11.91,33.93,90
2023,474,15.77,50.9,91.75
2023,475,15.25,60,26.6
2023,476,13.75,58.1,28.01
2023,477,11.81,41.82,23.76
2023,478,0.57,7.97,48
2023,479,0.76,13.13,91.85
2023,480,10.77,26.15,74.72
2023,481,12.15,35.8,51.42
2023,482,12.41,27.53,67.44
2023,483,1.25,17.66,76.37
2023,484,20.33,19.6,67.82
2023,485,20.57,19.7,45.19
2023,486,2.34,21.88,52.66
2023,487,16.88,5,58.66
2023,488,1.52,39.3,71.77
2023,489,2.21,36.45,39.14
2023,490,2.19,11.01,56.49
2023,491,17.04,0.01,44.74
2023,492,1.56,0.01,33.75
2023,493,13.68,0.01,46.4
2023,494,12.41,24.17,46.85
2023,495,2.49,10.88,59.48
2023,496,78.01,0.01,44.8
2023,497,18.75,17.83,20
2023,498,12.39,31.56,71.05
2023,499,6.07,51.35,85.83
2023,500,0.74,52.6,98.96
2023,501,0.78,38.76,60.97
2023,502,10.62,15.8,29.78
2023,503,1.49,0,54.08
2023,504,18.46,8.14,33.37
2023,505,20.86,4.53,16.54
2023,506,23.16,0.02,24.19
2023,507,24.12,0.03,11.95
2023,508,24.44,0.02,4.46
2023,509,2.58,0.01,11.91
2023,510,2.63,0.01,6.52
2023,511,20.54,-1.66,20
2023,512,18.81,0.01,37.07
2023,513,19.55,-2.5,31.75
2023,514,0.12,-82.5,2.44
2023,515,0.3,-18.96,6.87
2023,516,12.89,-11.71,10.66
2023,517,12.89,-7.96,10.58
2023,518,11.86,-3.75,12.6
2023,519,24.75,-13,3.49
2023,520,0.3,-11,3.12
2023,521,18.19,10.43,52.76
2023,522,0.79,22.03,91.58
2023,523,4.47,96.94,77.2
2023,524,0.64,59.5,119.87
2023,525,5.32,96.26,105.8
2023,526,0.72,25.92,66.38
2023,527,1.17,0.04,56.9
2023,528,24.59,5.01,49.81
