,,Price
2021,366,74.01
2021,367,89
2021,368,97.48
2021,369,99
2021,370,98.37
2021,371,97.84
2021,372,97.12
2021,373,97.12
2021,374,97.48
2021,375,97.12
2021,376,98.37
2021,377,100.44
2021,378,102.03
2021,379,109.42
2021,380,112.84
2021,381,103.75
2021,382,100.44
2021,383,85.01
2021,384,95
2021,385,70.35
2021,386,67.65
2021,387,62.15
2021,388,60
2021,389,60.39
2021,390,67.65
2021,391,83.22
2021,392,95
2021,393,98.13
2021,394,97
2021,395,95
2021,396,88.75
2021,397,88.31
2021,398,88.75
2021,399,82.87
2021,400,88.75
2021,401,95.98
2021,402,100.17
2021,403,103.68
2021,404,107.72
2021,405,102.89
2021,406,99.05
2021,407,95.59
2021,408,68.85
2021,409,60
2021,410,55.48
2021,411,54.6
2021,412,52.7
2021,413,54.4
2021,414,62.97
2021,415,77.94
2021,416,90.04
2021,417,97.76
2021,418,90.69
2021,419,86.97
2021,420,79.25
2021,421,76.64
2021,422,77.14
2021,423,76.98
2021,424,82
2021,425,88.22
2021,426,98.02
2021,427,96.01
2021,428,98.02
2021,429,94.29
2021,430,84.12
2021,431,79
2021,432,64.37
2021,433,59.91
2021,434,55.1
2021,435,52.2
2021,436,52
2021,437,52
2021,438,53.56
2021,439,54.3
2021,440,61.96
2021,441,66.69
2021,442,70.09
2021,443,69.05
2021,444,68.05
2021,445,66.69
2021,446,67.54
2021,447,65.5
2021,448,66.69
2021,449,70.09
2021,450,83.94
2021,451,88.82
2021,452,93.79
2021,453,89.03
2021,454,83.67
2021,455,70.24
2021,456,66.05
2021,457,60
2021,458,55.25
2021,459,55
2021,460,54.99
2021,461,54.99
2021,462,54.99
2021,463,55.25
2021,464,55.68
2021,465,59.69
2021,466,61.17
2021,467,62.4
2021,468,63.45
2021,469,61.75
2021,470,61.69
2021,471,55.18
2021,472,60.6
2021,473,67.05
2021,474,72
2021,475,82.01
2021,476,86.6
2021,477,87.84
2021,478,83.67
2021,479,70.97
2021,480,81.28
2021,481,79.53
2021,482,72.05
2021,483,70.5
2021,484,70
2021,485,74.69
2021,486,77.84
2021,487,80.22
2021,488,83.59
2021,489,85.66
2021,490,83.05
2021,491,77.84
2021,492,77.69
2021,493,76.59
2021,494,73.22
2021,495,72.05
2021,496,75.84
2021,497,82.89
2021,498,92.81
2021,499,110.9
2021,500,115.98
2021,501,99.01
2021,502,83.39
2021,503,73.21
2021,504,84.05
2021,505,70.79
2021,506,63.05
2021,507,59.5
2021,508,58.22
2021,509,59.35
2021,510,61.8
2021,511,74.39
2021,512,91.2
2021,513,93.72
2021,514,91.79
2021,515,86.48
2021,516,84
2021,517,80
2021,518,74.29
2021,519,70.9
2021,520,73.35
2021,521,78.49
2021,522,84.69
2021,523,91.2
2021,524,91.97
2021,525,84.69
2021,526,69.05
2021,527,58.2
2021,528,50.15
2021,529,44.7
2021,530,40.25
2021,531,38.49
2021,532,29.67
2021,533,36.65
2021,534,44.97
2021,535,56.12
2021,536,60.69
2021,537,64.05
2021,538,63.83
2021,539,59.64
2021,540,55.01
2021,541,51.6
2021,542,49.86
2021,543,44.95
2021,544,48.03
2021,545,54.01
2021,546,58.2
2021,547,64.69
2021,548,67.9
2021,549,62.69
2021,550,51.05
2021,551,42.7
2021,552,30.7
2021,553,21.12
2021,554,11.19
2021,555,3.67
2021,556,3.15
2021,557,16.77
2021,558,37.5
2021,559,49.52
2021,560,56.3
2021,561,58.75
2021,562,55.84
2021,563,54.28
2021,564,50.56
2021,565,49.72
2021,566,43.73
2021,567,46.9
2021,568,47.34
2021,569,50.87
2021,570,55.84
2021,571,57.26
2021,572,55.16
2021,573,51.79
2021,574,48.97
2021,575,42.4
2021,576,35.95
2021,577,28.95
2021,578,25.71
2021,579,23.96
2021,580,23.03
2021,581,27.45
2021,582,29.85
2021,583,41.05
2021,584,51.01
2021,585,53.5
2021,586,51.05
2021,587,47.29
2021,588,44.01
2021,589,42.6
2021,590,37.5
2021,591,37.5
2021,592,39.3
2021,593,48.69
2021,594,54.82
2021,595,57.24
2021,596,55.59
2021,597,52.91
2021,598,51.79
2021,599,46.64
2021,600,32.6
2021,601,25
2021,602,14
2021,603,11.96
2021,604,10.25
2021,605,10.25
2021,606,14
2021,607,18.4
2021,608,23.27
2021,609,27.05
2021,610,32.05
2021,611,30.98
2021,612,27.51
2021,613,29.05
2021,614,29.05
2021,615,25
2021,616,25
2021,617,26.7
2021,618,32.8
2021,619,43.64
2021,620,49.29
2021,621,49.98
2021,622,40
2021,623,32.05
2021,624,21.2
2021,625,12
2021,626,3.5
2021,627,1.95
2021,628,1.95
2021,629,3.5
2021,630,8.67
2021,631,13.99
2021,632,19.05
2021,633,26.05
2021,634,30
2021,635,29.8
2021,636,29.05
2021,637,29.6
2021,638,29.8
2021,639,29.4
2021,640,29.8
2021,641,43.05
2021,642,52.87
2021,643,57.33
2021,644,59.26
2021,645,55.76
2021,646,53.93
2021,647,47.89
2021,648,46.62
2021,649,43.09
2021,650,36.6
2021,651,32.4
2021,652,32.14
2021,653,36.6
2021,654,51.23
2021,655,59.74
2021,656,72.03
2021,657,75.04
2021,658,74.95
2021,659,70.53
2021,660,69.02
2021,661,67
2021,662,63.24
2021,663,61.58
2021,664,64.83
2021,665,69.29
2021,666,73.88
2021,667,74.86
2021,668,70.22
2021,669,68.25
2021,670,58.4
2021,671,54.5
2021,672,57.69
2021,673,52.56
2021,674,51.41
2021,675,48.8
2021,676,48.6
2021,677,51.42
2021,678,59.53
2021,679,69.05
2021,680,73.95
2021,681,79.68
2021,682,73.91
2021,683,72
2021,684,70
2021,685,68.74
2021,686,68.09
2021,687,68.15
2021,688,68.75
2021,689,73.73
2021,690,82.04
2021,691,75.5
2021,692,74.61
2021,693,71.27
2021,694,66.83
2021,695,57.16
2021,696,49.24
2021,697,44.97
2021,698,43.32
2021,699,42.04
2021,700,42.27
2021,701,44.93
2021,702,51.25
2021,703,65.43
2021,704,67.38
2021,705,70.67
2021,706,68.2
2021,707,67.58
2021,708,65.78
2021,709,64.28
2021,710,62.97
2021,711,63.65
2021,712,65.9
2021,713,68.17
2021,714,70.48
2021,715,70.6
2021,716,67.33
2021,717,64.94
2021,718,60.64
2021,719,52.56
2021,720,46.87
2021,721,44.93
2021,722,43.83
2021,723,42.4
2021,724,43.64
2021,725,44.41
2021,726,53.14
2021,727,63.26
2021,728,65.41
2021,729,66.1
2021,730,64.98
2021,731,64
2021,732,60.74
2021,733,59.31
2021,734,56.35
2021,735,53.2
2021,736,55.03
2021,737,60.49
2021,738,63.33
2021,739,63.74
2021,740,59.68
2021,741,58
2021,742,51.02
2021,743,45.51
2021,744,42.71
2021,745,38.25
2021,746,33.66
2021,747,29.99
2021,748,29
2021,749,33
2021,750,45
2021,751,55.34
2021,752,58.6
2021,753,58.89
2021,754,56.87
2021,755,54.67
2021,756,53.2
2021,757,49.01
2021,758,45.33
2021,759,44.85
