Period,LoadLevel,Energy BTC [MWh],Energy Boiler [MWh]
2030,0,15.0,8.0
2030,1,11.29,4.0
2030,2,12.64,2.0
2030,3,13.100075700227094,2.129924299772906
2030,4,13.100075700227094,3.039924299772906
2030,5,13.100075700227094,3.409924299772907
2030,6,13.100075700227094,4.289924299772906
2030,7,13.100075700227094,4.469924299772906
2030,8,13.100075700227094,4.819924299772907
2030,9,15.836600000000004,2.2699999999999996
2030,10,21.172006479981484,2.3779935200185154
2030,11,20.83733549332716,2.0
2030,12,16.55,2.0
2030,13,9.6,2.0
2030,14,9.6,2.0
2030,15,12.09,2.0
2030,16,12.76,2.0
2030,17,13.100075700227094,2.0299242997729063
2030,18,14.871576666666666,2.0
2030,19,15.231660000000003,2.0
2030,20,20.880000000000003,2.0
2030,21,18.11733549332716,6.0
2030,22,16.17733549332716,9.05
2030,23,17.7,5.050000000000001
2030,24,15.793390000000002,2.0
2030,25,13.100075700227094,3.419924299772905
2030,26,13.100075700227094,3.669924299772905
2030,27,13.100075700227094,4.419924299772905
2030,28,13.100075700227094,4.239924299772905
2030,29,13.100075700227094,3.879924299772906
2030,30,13.100075700227094,3.6799242997729067
2030,31,13.100075700227094,4.2699242997729066
2030,32,13.100075700227094,4.179924299772907
2030,33,11.73,2.0
2030,34,19.740000000000002,2.0
2030,35,21.212006479981483,2.547993520018517
2030,36,20.35,2.0
2030,37,14.18021666666667,2.0
2030,38,13.100075700227094,2.209924299772906
2030,39,13.100075700227094,3.499924299772907
2030,40,13.100075700227094,2.999924299772907
2030,41,13.100075700227094,3.669924299772905
2030,42,15.836600000000004,2.219999999999999
2030,43,15.836600000000004,2.3999999999999986
2030,44,21.33,2.0
2030,45,18.62400215999383,6.0
2030,46,16.17733549332716,9.239999999999998
2030,47,18.110000000000003,5.239999999999998
2030,48,14.626720000000004,2.0
