,,Online BTC,Online Boiler,Offline BTC,Offline Boiler,Commitment BTC,Commitment Boiler,StartUp BTC,StartUp Boiler,ShutDown BTC,ShutDown Boiler,SUType 1A,SUType 1X,SUType 2B,SUType 3C,SUType 4D,SUType 5E,Energy BTC [MWh],Energy Boiler [MWh],FuelCost BTC [EUR],FuelCost Boiler [EUR],TotalOutput BTC [MW],TotalOutput Boiler [MW],PowerBuy MW [MW],PowerSell MW [MW],POutput BTC [MW],PInHP HP [MW],PFS BTC [MW],PDemand,QOutput BTC [MW],QOutput Boiler [MW],QInHP HP [MW],QOutHP HP [MW],QExcess BTC [MW],QExcess Boiler [MW],QExcess HP [MW],QFS HP [MW],QDemand
2030,18,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.87,2.0,830.76,89.7,14.87,2.0,5.96,0.0,5.32,4.78,0.54,6.5,9.55,2.0,9.55,14.33,0.0,0.0,0.0,14.33,16.33
2030,19,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23,2.0,850.88,89.7,15.23,2.0,5.82,0.0,5.51,4.86,0.65,6.47,9.72,2.0,9.72,14.58,0.0,0.0,0.0,14.58,16.58
2030,20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.88,2.0,1166.41,89.7,20.88,2.0,0.0,0.0,11.29,4.8,6.49,6.49,9.59,2.0,9.59,14.39,0.0,0.0,0.0,14.39,16.39
2030,21,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12,6.0,1012.08,269.1,18.12,6.0,0.0,1.7,11.51,3.3,8.21,6.51,6.61,6.0,6.61,9.91,0.0,0.0,0.0,9.91,15.91
2030,22,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18,9.05,903.71,405.89,16.18,9.05,0.0,2.7,11.51,2.33,9.18,6.48,4.67,9.05,4.67,7.0,0.0,0.0,0.0,7.0,16.05
2030,23,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,5.05,988.77,226.49,17.7,5.05,0.0,0.0,10.21,3.74,6.47,6.47,7.49,5.05,7.49,11.23,0.0,0.0,0.0,11.23,16.28
2030,24,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,2.0,882.26,89.7,15.79,2.0,5.67,0.0,5.81,4.99,0.82,6.49,9.98,2.0,9.98,14.97,0.0,0.0,0.0,14.97,16.97
2030,25,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,3.42,731.8,153.38,13.1,3.42,6.5,0.0,4.37,4.37,0.0,6.5,8.73,3.42,8.73,13.1,0.0,0.0,0.0,13.1,16.52
2030,26,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,3.67,731.8,164.6,13.1,3.67,6.47,0.0,4.37,4.37,0.0,6.47,8.73,3.67,8.73,13.1,0.0,0.0,0.0,13.1,16.77
2030,27,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,4.42,731.8,198.23,13.1,4.42,6.51,0.0,4.37,4.37,0.0,6.51,8.73,4.42,8.73,13.1,0.0,0.0,0.0,13.1,17.52
2030,28,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,4.24,731.8,190.16,13.1,4.24,6.45,0.0,4.37,4.37,0.0,6.45,8.73,4.24,8.73,13.1,0.0,0.0,0.0,13.1,17.34
2030,29,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,3.88,731.8,174.01,13.1,3.88,6.38,0.0,4.37,4.37,0.0,6.38,8.73,3.88,8.73,13.1,0.0,0.0,0.0,13.1,16.98
2030,30,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,3.68,731.8,165.04,13.1,3.68,6.59,0.0,4.37,4.37,0.0,6.59,8.73,3.68,8.73,13.1,0.0,0.0,0.0,13.1,16.78
2030,31,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,4.27,731.8,191.51,13.1,4.27,6.65,0.0,4.37,4.37,0.0,6.65,8.73,4.27,8.73,13.1,0.0,0.0,0.0,13.1,17.37
2030,32,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,4.18,731.8,187.47,13.1,4.18,6.68,0.0,4.37,4.37,0.0,6.68,8.73,4.18,8.73,13.1,0.0,0.0,0.0,13.1,17.28
2030,33,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73,2.0,655.27,89.7,11.73,2.0,6.5,0.0,3.91,3.91,0.0,6.5,7.82,2.0,7.82,11.73,0.0,0.0,0.0,11.73,13.73
2030,34,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.74,2.0,1102.73,89.7,19.74,2.0,0.0,0.0,10.98,4.38,6.6,6.6,8.76,2.0,8.76,13.14,0.0,0.0,0.0,13.14,15.14
2030,35,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.21,2.55,1184.96,114.28,21.21,2.55,0.0,0.0,11.51,4.85,6.66,6.66,9.7,2.55,9.7,14.55,0.0,0.0,0.0,14.55,17.1
2030,36,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.35,2.0,1136.8,89.7,20.35,2.0,0.0,0.0,11.22,4.56,6.66,6.66,9.13,2.0,9.13,13.69,0.0,0.0,0.0,13.69,15.69
2030,37,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.18,2.0,792.14,89.7,14.18,2.0,6.28,0.0,4.95,4.62,0.33,6.61,9.23,2.0,9.23,13.85,0.0,0.0,0.0,13.85,15.85
2030,38,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2.21,731.8,99.12,13.1,2.21,6.63,0.0,4.37,4.37,0.0,6.63,8.73,2.21,8.73,13.1,0.0,0.0,0.0,13.1,15.31
2030,39,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,3.5,731.8,156.97,13.1,3.5,6.59,0.0,4.37,4.37,0.0,6.59,8.73,3.5,8.73,13.1,0.0,0.0,0.0,13.1,16.6
2030,40,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,3.0,731.8,134.55,13.1,3.0,6.51,0.0,4.37,4.37,0.0,6.51,8.73,3.0,8.73,13.1,0.0,0.0,0.0,13.1,16.1
2030,41,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,3.67,731.8,164.6,13.1,3.67,6.5,0.0,4.37,4.37,0.0,6.5,8.73,3.67,8.73,13.1,0.0,0.0,0.0,13.1,16.77
2030,42,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.84,2.22,884.67,99.57,15.84,2.22,5.68,0.0,5.84,5.0,0.84,6.52,10.0,2.22,10.0,15.0,0.0,0.0,0.0,15.0,17.22
2030,43,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.84,2.4,884.67,107.64,15.84,2.4,5.65,0.0,5.84,5.0,0.84,6.49,10.0,2.4,10.0,15.0,0.0,0.0,0.0,15.0,17.4
2030,44,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33,2.0,1191.55,89.7,21.33,2.0,0.0,0.0,11.46,4.93,6.53,6.53,9.87,2.0,9.87,14.8,0.0,0.0,0.0,14.8,16.8
2030,45,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.62,6.0,1040.38,269.1,18.62,6.0,0.0,1.54,11.51,3.56,7.95,6.41,7.11,6.0,7.11,10.67,0.0,0.0,0.0,10.67,16.67
2030,46,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18,9.24,903.71,414.41,16.18,9.24,0.0,2.71,11.51,2.33,9.18,6.47,4.67,9.24,4.67,7.0,0.0,0.0,0.0,7.0,16.24
2030,47,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.11,5.24,1011.67,235.01,18.11,5.24,0.0,0.0,10.39,3.86,6.53,6.53,7.72,5.24,7.72,11.58,0.0,0.0,0.0,11.58,16.82
2030,48,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.63,2.0,817.09,89.7,14.63,2.0,5.98,0.0,5.19,4.72,0.47,6.45,9.44,2.0,9.44,14.16,0.0,0.0,0.0,14.16,16.16
