Period,LoadLevel,PInHP HP [MW]
2030,0,2.4699999999999998
2030,1,3.763333333333332
2030,2,4.213333333333333
2030,3,4.366691900075697
2030,4,4.366691900075697
2030,5,4.366691900075697
2030,6,4.366691900075697
2030,7,4.366691900075697
2030,8,4.366691900075697
2030,9,4.999999999999998
2030,10,4.830668826660494
2030,11,4.663333333333332
2030,12,3.629999999999999
2030,13,3.0699999999999994
2030,14,2.9466666666666663
2030,15,4.029999999999999
2030,16,4.253333333333332
2030,17,4.366691900075697
2030,18,4.7766666666666655
2030,19,4.859999999999998
2030,20,4.796666666666665
2030,21,3.303333333333333
2030,22,2.333333333333333
2030,23,3.7433333333333323
2030,24,4.989999999999998
2030,25,4.366691900075697
2030,26,4.366691900075697
2030,27,4.366691900075697
2030,28,4.366691900075697
2030,29,4.366691900075697
2030,30,4.366691900075697
2030,31,4.366691900075697
2030,32,4.366691900075697
2030,33,3.9099999999999993
2030,34,4.379999999999999
2030,35,4.850668826660494
2030,36,4.563333333333333
2030,37,4.616666666666665
2030,38,4.366691900075697
2030,39,4.366691900075697
2030,40,4.366691900075697
2030,41,4.366691900075697
2030,42,4.999999999999998
2030,43,4.999999999999998
2030,44,4.933333333333332
2030,45,3.5566666666666666
2030,46,2.333333333333333
2030,47,3.8599999999999994
2030,48,4.719999999999999
