Period,LoadLevel,QFS HP [MW]
2030,0,7.41
2030,1,11.29
2030,2,12.64
2030,3,13.100075700227094
2030,4,13.100075700227094
2030,5,13.100075700227094
2030,6,13.100075700227094
2030,7,13.100075700227094
2030,8,13.100075700227094
2030,9,15.0
2030,10,14.492006479981486
2030,11,13.99
2030,12,10.89
2030,13,9.21
2030,14,8.84
2030,15,12.09
2030,16,12.76
2030,17,13.100075700227094
2030,18,14.329999999999998
2030,19,14.579999999999998
2030,20,14.39
2030,21,9.91
2030,22,7.0
2030,23,11.23
2030,24,14.969999999999999
2030,25,13.100075700227094
2030,26,13.100075700227094
2030,27,13.100075700227094
2030,28,13.100075700227094
2030,29,13.100075700227094
2030,30,13.100075700227094
2030,31,13.100075700227094
2030,32,13.100075700227094
2030,33,11.73
2030,34,13.14
2030,35,14.552006479981484
2030,36,13.69
2030,37,13.85
2030,38,13.100075700227094
2030,39,13.100075700227094
2030,40,13.100075700227094
2030,41,13.100075700227094
2030,42,15.0
2030,43,15.0
2030,44,14.8
2030,45,10.670000000000002
2030,46,7.0
2030,47,11.580000000000002
2030,48,14.16
