,,StartUpCost,PowerSyn,SUDuration,OffDuration
BTC,1A,16,2.6,1,4
BTC,2B,28,2.6,2,6
BTC,3C,36,2.6,3,8
BTC,4D,40,2.6,4,11
BTC,5E,41,2.6,5,14
Boiler,1X,41,1,1,4
