Period,LoadLevel,POutput BTC [MW]
2030,0,10.059999999999999
2030,1,3.763333333333332
2030,2,4.213333333333333
2030,3,4.366691900075697
2030,4,4.366691900075697
2030,5,4.366691900075697
2030,6,4.366691900075697
2030,7,4.366691900075697
2030,8,4.366691900075697
2030,9,5.8366000000000025
2030,10,11.510668826660494
2030,11,11.510668826660494
2030,12,9.29
2030,13,3.459999999999998
2030,14,3.706666666666666
2030,15,4.029999999999999
2030,16,4.253333333333332
2030,17,4.366691900075697
2030,18,5.318243333333333
2030,19,5.511660000000003
2030,20,11.286666666666665
2030,21,11.510668826660494
2030,22,11.510668826660494
2030,23,10.213333333333331
2030,24,5.813390000000002
2030,25,4.366691900075697
2030,26,4.366691900075697
2030,27,4.366691900075697
2030,28,4.366691900075697
2030,29,4.366691900075697
2030,30,4.366691900075697
2030,31,4.366691900075697
2030,32,4.366691900075697
2030,33,3.9099999999999993
2030,34,10.979999999999999
2030,35,11.510668826660494
2030,36,11.223333333333333
2030,37,4.946883333333336
2030,38,4.366691900075697
2030,39,4.366691900075697
2030,40,4.366691900075697
2030,41,4.366691900075697
2030,42,5.8366000000000025
2030,43,5.8366000000000025
2030,44,11.463333333333331
2030,45,11.510668826660494
2030,46,11.510668826660494
2030,47,10.39
2030,48,5.186720000000003
