,,,Psu_i
BTC,1A,1,50
BTC,1A,2,150
BTC,1A,3,
BTC,1A,4,
BTC,1A,5,
BTC,1A,6,
BTC,2B,1,50
BTC,2B,2,100
BTC,2B,3,150
BTC,2B,4,
BTC,2B,5,
BTC,2B,6,
BTC,3C,1,50
BTC,3C,2,83.33333333
BTC,3C,3,116.6666667
BTC,3C,4,150
BTC,3C,5,
BTC,3C,6,
BTC,4D,1,50
BTC,4D,2,75
BTC,4D,3,100
BTC,4D,4,125
BTC,4D,5,150
BTC,4D,6,
BTC,5E,1,50
BTC,5E,2,70
BTC,5E,3,90
BTC,5E,4,110
BTC,5E,5,130
BTC,5E,6,150
Boiler,1X,1,5
Boiler,1X,2,10
