,,,Psu_i
BTC,1_Hot,1,0.001
BTC,1_Hot,2,4
BTC,1_Hot,3,9.6
BTC,1_Hot,4,
BTC,1_Hot,5,
BTC,1_Hot,6,
BTC,1_Hot,7,
BTC,1_Hot,8,
BTC,1_Hot,9,
BTC,1_Hot,10,
BTC,1_Hot,11,
BTC,1_Hot,12,
BTC,1_Hot,13,
BTC,1_Hot,14,
BTC,1_Hot,15,
BTC,1_Hot,16,
BTC,1_Hot,17,
BTC,1_Hot,18,
BTC,1_Hot,19,
BTC,1_Hot,20,
BTC,1_Hot,21,
BTC,2_Warm,1,0.001
BTC,2_Warm,2,0.001
BTC,2_Warm,3,0.001
BTC,2_Warm,4,0.001
BTC,2_Warm,5,0.001
BTC,2_Warm,6,0.001
BTC,2_Warm,7,0.001
BTC,2_Warm,8,0.001
BTC,2_Warm,9,0.001
BTC,2_Warm,10,0.001
BTC,2_Warm,11,0.001
BTC,2_Warm,12,0.001
BTC,2_Warm,13,0.001
BTC,2_Warm,14,2.6
BTC,2_Warm,15,5.3
BTC,2_Warm,16,9.6
BTC,2_Warm,17,
BTC,2_Warm,18,
BTC,2_Warm,19,
BTC,2_Warm,20,
BTC,2_Warm,21,
BTC,3_Cold,1,0.001
BTC,3_Cold,2,0.001
BTC,3_Cold,3,0.001
BTC,3_Cold,4,0.001
BTC,3_Cold,5,0.001
BTC,3_Cold,6,0.001
BTC,3_Cold,7,0.001
BTC,3_Cold,8,0.001
BTC,3_Cold,9,0.001
BTC,3_Cold,10,0.001
BTC,3_Cold,11,0.001
BTC,3_Cold,12,0.001
BTC,3_Cold,13,0.001
BTC,3_Cold,14,0.001
BTC,3_Cold,15,0.001
BTC,3_Cold,16,0.001
BTC,3_Cold,17,0.001
BTC,3_Cold,18,0.001
BTC,3_Cold,19,2.6
BTC,3_Cold,20,5.3
BTC,3_Cold,21,9.6
Boiler,1_X,1,0.001
Boiler,1_X,2,1
Boiler,1_X,3,2
